sedol,ticker,companyname,CategoryGroup
6715740,QBE,QBE Insurance Group Limited,1
B03FYZ4,GMG,Goodman Group,2
B28YTC2,MQG,Macquarie Group Ltd.,3
6086253,FMG,Fortescue Metals Group Ltd,1
B60QWJ2,JHX,James Hardie Industries PLC Chess Units of Foreign Securities,2
6637101,NCM,Newcrest Mining Limited,3
BYWR0T5,COL,Coles Group Ltd.,1
6948836,WES,Wesfarmers Limited,2
6776703,STO,Santos Limited,3
6129222,ASX,ASX Limited,1
6215035,CBA,Commonwealth Bank of Australia,2
6253983,ALL,Aristocrat Leisure Limited,3
6185495,CSL,CSL Limited,1
BMGT167,WDS,Woodside Energy Group Ltd,2
6076146,WBC,Westpac Banking Corporation,3
6624608,NAB,National Australia Bank Limited,1
6144690,BHP,BHP Group Ltd,2
6200882,TCL,Transurban Group Ltd.,3
6981239,WOW,Woolworths Group Ltd,1
6065586,ANZ,ANZ Group Holdings Limited,2
6087289,TLS,Telstra Group Limited,3
6220103,RIO,Rio Tinto Limited,1
